PropertyName,Key,Code, Description
Control,Control,,Control
ControlLeft,,ControlLeft,ControlLeft
ControlRight,,ControlRight,ControlRight
Alt,Alt,,Alt
AltLeft,,AltLeft,AltLeft
AltRight,,AltRight,AltRight
Shift,Shift,,Shift
ShiftLeft,,ShiftLeft,ShiftLeft
ShiftRight,,ShiftRight,ShiftRight
Meta,Meta,,Meta
MetaLeft,,MetaLeft,MetaLeft
MetaRight,,MetaRight,MetaRight
,,,
CapsLock,CapsLock,CapsLock,CapsLock
Tab,Tab,Tab,Tab
Escape,Escape,Escape,Escape
Delete,Delete,Delete,Delete
Backspace,Backspace,Backspace,Backspace
Insert,Insert,Insert,Insert
Enter,Enter,Enter,Enter
ArrowUp,ArrowUp,ArrowUp,ArrowUp
ArrowRight,ArrowRight,ArrowRight,ArrowRight
ArrowDown,ArrowDown,ArrowDown,ArrowDown
ArrowLeft,ArrowLeft,ArrowLeft,ArrowLeft
PageUp,PageUp,PageUp,PageUp
PageDown,PageDown,PageDown,PageDown
Home,Home,Home,Home
End,End,End,End
Space, ,Space,Space
,,,
Num0,0,Digit0,0
Num1,1,Digit1,1
Num2,2,Digit2,2
Num3,3,Digit3,3
Num4,4,Digit4,4
Num5,5,Digit5,5
Num6,6,Digit6,6
Num7,7,Digit7,7
Num8,8,Digit8,8
Num9,9,Digit9,9
,,,
A,A,KeyA,A
B,B,KeyB,B
C,C,KeyC,C
D,D,KeyD,D
E,E,KeyE,E
F,F,KeyF,F
G,G,KeyG,G
H,H,KeyH,H
I,I,KeyI,I
J,J,KeyJ,J
K,K,KeyK,K
L,L,KeyL,L
M,M,KeyM,M
N,N,KeyN,N
O,O,KeyO,O
P,P,KeyP,P
Q,Q,KeyQ,Q
R,R,KeyR,R
S,S,KeyS,S
T,T,KeyT,T
U,U,KeyU,U
V,V,KeyV,V
W,W,KeyW,W
X,X,KeyX,X
Y,Y,KeyY,Y
Z,Z,KeyZ,Z
,,,
a,a,,a
b,b,,b
c,c,,c
d,d,,d
e,e,,e
f,f,,f
g,g,,g
h,h,,h
i,i,,i
j,j,,j
k,k,,k
l,l,,l
m,m,,m
n,n,,n
o,o,,o
p,p,,p
q,q,,q
r,r,,r
s,s,,s
t,t,,t
u,u,,u
v,v,,v
w,w,,w
x,x,,x
y,y,,y
z,z,,z
,,,
F1,F1,F1,F1
F2,F2,F2,F2
F3,F3,F3,F3
F4,F4,F4,F4
F5,F5,F5,F5
F6,F6,F6,F6
F7,F7,F7,F7
F8,F8,F8,F8
F9,F9,F9,F9
F10,F10,F10,F10
F11,F11,F11,F11
F12,F12,F12,F12
F13,F13,F13,F13
F14,F14,F14,F14
F15,F15,F15,F15
F16,F16,F16,F16
F17,F17,F17,F17
F18,F18,F18,F18
F19,F19,F19,F19
F20,F20,F20,F20
,,,
ContextMenu,ContextMenu,ContextMenu,ContextMenu
NumLock,NumLock,NumLock,NumLock
ScrollLock,ScrollLock,ScrollLock,ScrollLock
Pause,Pause,Pause,Pause
,,,
Equal,=,Equal,Equal (=)
LessThan,<,,Less Than (<)
GreaterThan,>,,Greater Than (>)
Asterisk,*,,Asterisk (*)
Plus,+,,Plus (+)
Minus,-,Minus,Minus (-)
Slash,/,Slash,Slash (/)
,,,
SemiColon,;,Semicolon,SemiColon (;)
Colon,:,,Colon (:)
Quote,,Quote,Quote (')
DoubleQuote,"""",,"Double Quote ("")"
Comma,",",Comma,"Comma (,)"
Period,.,Period, Period (.)
Backquote,`,Backquote,Backquote (`)
Backslash,\,Backslash,Backslash (\)
,,,
BracketLeft,[,BracketLeft,BracketLeft ([)
BracketRight,],BracketRight,BracketRight (])
BraceLeft,{,,BraceLeft ({)
BraceRight,},,BraceRight (})
ParenthesisLeft,(,,ParenthesisLeft (()
ParenthesisRight,),,ParenthesisRight ())
Underscore,_,,Underscore (_)
Exclamation,!,,Exclamation (!)
Sharp,#,,Sharp (#)
Dollar,$,,Dollar ($)
Percent,%,,Percent (%)
Ampersand,&,,Ampersand (&)
Question,?,,Question (?)
At,@,,At (@)
Caret,^,,Caret (^)
VerticalLine,|,,Vertical Line (|)
Tilde,~,,Tilde (~)
,,,
AudioVolumeMute ,AudioVolumeMute ,,AudioVolumeMute 
AudioVolumeDown,AudioVolumeDown,,AudioVolumeDown
AudioVolumeUp,AudioVolumeUp,,AudioVolumeUp
,,,
MediaTrackNext,MediaTrackNext,,MediaTrackNext
MediaTrackPrevious,MediaTrackPrevious,,MediaTrackPrevious
MediaStop,MediaStop,,MediaStop
MediaPlayPause,MediaPlayPause,,MediaPlayPause
,,,
LaunchMail,LaunchMail,,LaunchMail
LaunchMediaPlayer,LaunchMediaPlayer,,LaunchMediaPlayer
LaunchCalculator,LaunchCalculator,,LaunchCalculator
LaunchCalendar,LaunchCalendar,,LaunchCalendar
LaunchContacts,LaunchContacts,,LaunchContacts
LaunchMusicPlayer,LaunchMusicPlayer,,LaunchMusicPlayer
LaunchMyComputer,LaunchMyComputer,,LaunchMyComputer
LaunchPhone,LaunchPhone,,LaunchPhone
LaunchScreenSaver,LaunchScreenSaver,,LaunchScreenSaver
LaunchSpreadsheet,LaunchSpreadsheet,,LaunchSpreadsheet
LaunchWebBrowser,LaunchWebBrowser,,LaunchWebBrowser
LaunchWebCam,LaunchWebCam,,LaunchWebCam
LaunchWordProcessor,LaunchWordProcessor,,LaunchWordProcessor
,,,
